Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2014/15,all,43919,181965650.6,330625989.2,4675034,11234192,584434,65098360.224672325,16900310.169128135,429118319.5938004
2015/16,all,43990,180375270,327685067.4,4671459,11279785,677666,68868272.4347296,18170053.092823166,431352302.92755276
2016/17,all,43909,174959699.85,317815572.9,4652477,11220606,2357901,73735865.11200167,19669977.23212003,429452399.2441217
2017/18,all,44659,164975021,299659972.4,4631209,11144455,2496588,81863476.90694606,21417099.429598354,421212800.7365444
2018/19,all,45753,158880041.6,288633278.55,4652829,11171699,2663539,81597778.51365969,22172098.24346292,410891222.3071226
2019/20,all,39881,141582875.65,257228287.75,4203383,9938626,2900563,79135268.99972308,21466603.48511577,374872732.23483884
2020/21,all,32738,130528410.6,239229831,3262250,8628626,3123224,58419131.72521489,16636955.912548602,329300018.6377635
2021/22,all,31367,128174113.75,238466684.85,2615064,8166571,3167963,80410506.46047145,20434830.34544893,353261619.6559204
2022/23,all,32526,131107485,244632572.1,2283984,8238803,4026658,92825189.99003169,24069065.72471805,376076272.8147497
2023/24,all,33585,136524748.35,250719303.1,1996540,8306630,5217855,89036296.41868952,24533786.904280923,379810411.4229704
2024/25,all,28463,114220575.8,182603324,1513581,7009321,5039327,79223218.20562252,23669617.618029755,299058388.82365227
2025/26,all,12786,65350391.05,99093481.1,821744,3995612,1611324,NA,NA,105522161.1
2026/27,all,4293,29603767.7,40434935.199999996,339460,1795517,NA,NA,NA,42569912.199999996
2027/28,all,789,7736952.45,7586144.6,82106,483481,NA,NA,NA,8151731.6
2014/15,Female,15992,79252297.45,144139083.2,795839,4958630,212806.95207085772,27349958.015800864,5948864.908910523,183405182.07678223
2014/15,Male,20040,79431434.1,143934671.79999998,3526827,4924831,266674.04449099477,27617578.073193397,7631651.642128765,187902233.55981314
2014/15,Other/trans,536,2124031.85,3835837.5,31842,184234,7132.599193970719,826211.9309740157,184125.54390369993,5069383.574071687
2014/15,Prefer not to say/NA,7351,21157887.2,38716395.85,320526,1180647,97820.40424417678,9304612.204704061,3135668.074185141,52755669.53313338
2015/16,Female,15992,78674162.3,143035888.6,797330,4976387,246351.1780136846,28676700.20278618,6366100.9997898135,184098757.9805897
2015/16,Male,20136,78962690.55,143076842.45,3525134,4956609,310188.0515560001,29301915.649186198,8199368.751817519,189370057.9025597
2015/16,Other/trans,538,2088643.8,3774158.9499999997,31209,183600,8287.702211816053,850417.2851710541,196698.11701564502,5044371.054398515
2015/16,Prefer not to say/NA,7325,20649773.349999998,37798177.4,317785,1174798,112839.06821849925,10039239.297586191,3407885.2242001914,52850723.99000488
2016/17,Female,15898,76241313.55,138633284.7,793069,4934619,853737.5899152774,29543129.49779879,6725004.301576192,181482844.08929026
2016/17,Male,20119,76784037.7,139078171.29999998,3512945,4937439,1080409.269814157,31635847.798036467,8887254.30993058,189132066.6777812
2016/17,Other/trans,530,2013337.2,3638740.35,31420,181102,28461.499726701284,871926.4363860176,203916.07701558605,4955566.363128305
2016/17,Prefer not to say/NA,7361,19921011.4,36465376.55,315043,1176222,395292.64054386446,11684961.379780417,3853802.543597669,53890698.11392195
